Rk,Player,Team,Pos,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fum Lost,Fantasy Points
186,Matt Leinart,OAK,QB,115,0,1,0,0,0,0,0,0,2.6
187,Terrelle Pryor,OAK,QB,5,0,0,2,0,1,22,0,0,2.6
188,Scott Chandler,BUF,TE,0,0,0,0,0,1,25,0,0,2.5
189,Jacquizz Rodgers,ATL,RB,0,0,0,14,0,1,11,0,0,2.5
190,Armando Allen,CHI,RB,0,0,0,24,0,1,1,0,0,2.5
191,Damaris Johnson,PHI,WR,0,0,0,0,0,3,25,0,0,2.5
192,Steve Johnson,BUF,WR,0,0,0,0,0,4,44,0,1,2.4
193,Brandon Tate,CIN,WR,0,0,0,0,0,1,23,0,0,2.3
194,Joel Dreessen,DEN,TE,0,0,0,0,0,3,22,0,0,2.2
195,Brian Hoyer,ARI,QB,105,0,1,0,0,0,0,0,0,2.2
196,Ruvell Martin,BUF,WR,0,0,0,0,0,2,22,0,0,2.2
197,Victor Cruz,NYG,WR,0,0,0,0,0,3,21,0,0,2.1
198,Niles Paul,WAS,TE,0,0,0,0,0,1,21,0,0,2.1
199,Montario Hardesty,CLE,RB,0,0,0,14,0,1,7,0,0,2.1
200,Jerricho Cotchery,PIT,WR,0,0,0,0,0,2,20,0,0,2
201,Mike Goodson,OAK,RB,0,0,0,12,0,1,8,0,0,2
202,DJ Williams,GB,TE,0,0,0,0,0,3,20,0,0,2
203,Kellen Davis,CHI,TE,0,0,0,0,0,2,19,0,0,1.9
204,Derek Hagan,OAK,WR,0,0,0,0,0,1,19,0,0,1.9
205,Jamie Harper,TEN,RB,0,0,0,19,0,0,0,0,0,1.9
206,Ben Tate,HOU,RB,0,0,0,17,0,1,2,0,0,1.9
207,Jeremy Kerley,NYJ,WR,42,0,0,2,0,0,0,0,0,1.88
208,Marcel Reece,OAK,FB,0,0,0,0,0,4,18,0,0,1.8
209,Tiquan Underwood,TB,WR,0,0,0,0,0,1,18,0,0,1.8
210,Riley Cooper,PHI,WR,0,0,0,0,0,1,18,0,0,1.8
211,Bryce Brown,PHI,RB,0,0,0,18,0,0,0,0,0,1.8
212,Dwayne Allen,IND,TE,0,0,0,0,0,3,18,0,0,1.8
213,Stefan Logan,DET,WR,0,0,0,13,0,1,4,0,0,1.7
214,Jermaine Kearse,SEA,WR,0,0,0,0,0,1,17,0,0,1.7
215,Toney Clemons,JAX,WR,0,0,0,0,0,1,17,0,0,1.7
216,Michael Preston,TEN,WR,0,0,0,0,0,2,17,0,0,1.7
217,Isaac Redman,PIT,RB,0,0,0,4,0,2,32,0,1,1.6
218,Earl Bennett,CHI,WR,0,0,0,0,0,1,16,0,0,1.6
219,LaRod Stephens-Howling,ARI,RB,0,0,0,19,0,1,-3,0,0,1.6
220,Luke Stocker,TB,TE,0,0,0,0,0,2,16,0,0,1.6
221,Rod Streater,OAK,WR,0,0,0,0,0,2,16,0,0,1.6
222,Hayden Smith,NYJ,TE,0,0,0,0,0,1,16,0,0,1.6
223,Zach Miller,SEA,TE,0,0,0,0,0,2,15,0,0,1.5
224,Nate Washington,TEN,WR,0,0,0,0,0,2,15,0,0,1.5
225,Sidney Rice,SEA,WR,0,0,0,0,0,1,14,0,0,1.4
226,BenJarvus Green-Ellis,CIN,RB,0,0,0,14,0,1,0,0,0,1.4
227,Garrett Graham,HOU,TE,0,0,0,0,0,2,14,0,0,1.4
228,Evan Royster,WAS,RB,0,0,0,14,0,0,0,0,0,1.4
229,Mike Thomas,DET,WR,0,0,0,8,0,1,5,0,0,1.3
230,Aaron Hernandez,NE,TE,0,0,0,0,0,1,13,0,0,1.3
231,Emmanuel Sanders,PIT,WR,0,0,0,0,0,1,13,0,0,1.3
232,Carson Palmer,OAK,QB,31,0,0,0,0,0,0,0,0,1.24
233,Anthony Fasano,MIA,TE,0,0,0,0,0,2,12,0,0,1.2
234,Kevin Walter,HOU,WR,0,0,0,0,0,1,12,0,0,1.2
235,Jason Snelling,ATL,RB,0,0,0,0,0,1,12,0,0,1.2
236,Brian Hartline,MIA,WR,0,0,0,0,0,2,12,0,0,1.2
237,Mike Wallace,PIT,WR,0,0,0,-1,0,1,13,0,0,1.2
238,Kevin Ogletree,DAL,WR,0,0,0,0,0,1,12,0,0,1.2
239,Deion Branch,NE,WR,0,0,0,0,0,2,12,0,0,1.2
240,Anthony Allen,BAL,RB,0,0,0,7,0,1,5,0,0,1.2
241,Denarius Moore,OAK,WR,0,0,0,0,0,3,12,0,0,1.2
242,Henry Hynoski,NYG,FB,0,0,0,3,0,1,8,0,0,1.1
243,Ryan Taylor,GB,TE,0,0,0,0,0,1,11,0,0,1.1
244,Brandon Myers,OAK,TE,0,0,0,0,0,3,10,0,0,1
245,Leonard Hankerson,WAS,WR,0,0,0,0,0,1,10,0,0,1
246,John Kuhn,GB,FB,0,0,0,0,0,1,9,0,0,0.9
247,Tony Gonzalez,ATL,TE,0,0,0,0,0,1,9,0,0,0.9
248,Arian Foster,HOU,RB,0,0,0,15,0,2,14,0,1,0.9
249,Ed Dickson,BAL,TE,0,0,0,0,0,1,9,0,0,0.9
250,Daryl Richardson,STL,RB,0,0,0,9,0,0,0,0,0,0.9
